movie_id,sum_gender,total_gender,percent_female
1255,0.0,1,0.0
1257,2.0,2,1.0
1259,0.0,1,0.0
1262,0.0,1,0.0
1265,1.0,2,0.5
1266,0.0,2,0.0
1268,0.0,1,0.0
1269,0.0,2,0.0
1271,0.0,3,0.0
1272,0.0,1,0.0
1273,0.0,3,0.0
1277,1.0,2,0.5
1278,0.0,2,0.0
1279,0.0,1,0.0
1280,0.0,1,0.0
1281,0.0,2,0.0
1282,0.0,2,0.0
1283,0.0,1,0.0
1284,0.0,1,0.0
1285,0.0,1,0.0
1358,0.0,1,0.0
1359,2.0,2,1.0
1360,2.0,3,0.6666666666666666
1361,0.0,1,0.0
1362,0.0,1,0.0
1363,0.0,2,0.0
1364,0.0,1,0.0
1365,0.0,2,0.0
1366,0.0,1,0.0
1367,0.0,1,0.0
1368,0.0,4,0.0
1369,0.0,2,0.0
1370,0.0,2,0.0
1371,0.0,1,0.0
1373,0.0,1,0.0
1374,0.0,1,0.0
1375,0.0,1,0.0
1376,0.0,1,0.0
1377,1.0,3,0.3333333333333333
1378,0.0,1,0.0
1380,0.0,1,0.0
1381,0.0,2,0.0
1382,1.0,1,1.0
1387,0.0,1,0.0
1389,0.0,2,0.0
1391,0.0,2,0.0
1394,0.0,1,0.0
1396,0.0,1,0.0
1398,0.0,1,0.0
1402,0.0,1,0.0
1403,0.0,2,0.0
1404,0.0,1,0.0
1405,1.0,2,0.5
1406,0.0,2,0.0
1407,1.0,2,0.5
1408,0.0,4,0.0
1410,0.0,2,0.0
1411,0.0,1,0.0
1412,0.0,1,0.0
1414,0.0,1,0.0
1415,0.0,2,0.0
1416,0.0,1,0.0
1417,0.0,1,0.0
1418,1.0,1,1.0
1419,0.0,1,0.0
1421,1.0,1,1.0
1422,0.0,1,0.0
1427,0.0,3,0.0
1428,0.0,1,0.0
1429,0.0,2,0.0
1430,0.0,1,0.0
1433,0.0,2,0.0
1435,0.0,1,0.0
1439,1.0,3,0.3333333333333333
1440,0.0,3,0.0
1441,0.0,2,0.0
1443,1.0,2,0.5
1448,0.0,1,0.0
1450,0.0,2,0.0
1452,0.0,5,0.0
1480,0.0,1,0.0
1481,0.0,1,0.0
1482,0.0,1,0.0
1484,0.0,1,0.0
1487,0.0,2,0.0
1491,0.0,1,0.0
1493,2.0,3,0.6666666666666666
1494,0.0,2,0.0
1495,0.0,1,0.0
1496,0.0,1,0.0
1497,0.0,2,0.0
1498,0.0,2,0.0
1499,0.0,3,0.0
1523,0.0,2,0.0
1534,1.0,2,0.5
1535,0.0,2,0.0
1537,0.0,1,0.0
1540,0.0,3,0.0
1541,1.0,1,1.0
1542,0.0,1,0.0
1543,1.0,1,1.0
1546,0.0,1,0.0
1547,1.0,2,0.5
1549,1.0,1,1.0
1550,0.0,1,0.0
1551,0.0,1,0.0
1552,0.0,2,0.0
1553,0.0,1,0.0
1555,0.0,1,0.0
1556,0.0,1,0.0
1557,0.0,1,0.0
1559,0.0,1,0.0
1560,0.0,1,0.0
1561,0.0,1,0.0
1562,0.0,4,0.0
1567,0.0,1,0.0
1568,0.0,1,0.0
1571,0.0,1,0.0
1572,0.0,1,0.0
1573,0.0,1,0.0
1574,0.0,1,0.0
1576,0.0,1,0.0
1577,0.0,1,0.0
1578,0.0,2,0.0
1579,0.0,1,0.0
1580,0.0,3,0.0
1581,1.0,1,1.0
1583,0.0,1,0.0
1584,0.0,1,0.0
1585,1.0,3,0.3333333333333333
1586,0.0,2,0.0
1587,0.0,2,0.0
1588,1.0,1,1.0
1590,0.0,2,0.0
1591,1.0,1,1.0
1592,1.0,2,0.5
1593,0.0,2,0.0
1594,0.0,5,0.0
1595,0.0,2,0.0
1597,0.0,3,0.0
1598,0.0,3,0.0
1599,0.0,2,0.0
1600,0.0,2,0.0
1607,0.0,2,0.0
1608,0.0,1,0.0
1609,0.0,3,0.0
1610,0.0,2,0.0
1615,0.0,1,0.0
1618,0.0,2,0.0
1619,0.0,2,0.0
1621,0.0,2,0.0
1622,0.0,1,0.0
1623,0.0,3,0.0
1624,0.0,2,0.0
1626,0.0,1,0.0
1627,0.0,1,0.0
1628,0.0,1,0.0
1629,0.0,1,0.0
1630,0.0,2,0.0
1631,2.0,2,1.0
1632,0.0,1,0.0
1633,3.0,3,1.0
1634,0.0,1,0.0
1635,0.0,2,0.0
1636,0.0,3,0.0
1637,0.0,1,0.0
1639,0.0,4,0.0
1640,0.0,1,0.0
1641,0.0,1,0.0
1642,0.0,2,0.0
1643,1.0,2,0.5
1644,0.0,1,0.0
1645,0.0,2,0.0
1646,0.0,1,0.0
1647,0.0,4,0.0
1648,0.0,2,0.0
1649,0.0,4,0.0
1651,0.0,1,0.0
1652,0.0,1,0.0
1653,0.0,1,0.0
1654,0.0,1,0.0
1656,0.0,3,0.0
1659,0.0,1,0.0
1660,1.0,1,1.0
1665,0.0,1,0.0
1669,0.0,3,0.0
1672,0.0,1,0.0
1673,0.0,1,0.0
1675,1.0,2,0.5
1676,0.0,1,0.0
1677,0.0,2,0.0
1680,0.0,1,0.0
1682,0.0,1,0.0
1683,0.0,2,0.0
1685,0.0,3,0.0
1686,0.0,1,0.0
1687,0.0,2,0.0
1688,0.0,2,0.0
1689,0.0,1,0.0
1690,0.0,1,0.0
1691,0.0,1,0.0
1694,0.0,3,0.0
1696,0.0,1,0.0
1697,0.0,1,0.0
1698,0.0,1,0.0
1700,0.0,2,0.0
1701,0.0,1,0.0
1702,0.0,1,0.0
1705,0.0,3,0.0
1710,1.0,1,1.0
1712,1.0,3,0.3333333333333333
1713,0.0,1,0.0
1714,0.0,2,0.0
1715,0.0,2,0.0
1716,1.0,1,1.0
1717,0.0,1,0.0
1718,0.0,1,0.0
1719,0.0,1,0.0
1720,0.0,1,0.0
1721,0.0,1,0.0
1723,0.0,1,0.0
1724,0.0,3,0.0
1725,0.0,3,0.0
1726,0.0,3,0.0
1727,0.0,5,0.0
1730,0.0,1,0.0
1731,1.0,1,1.0
1732,0.0,3,0.0
1734,0.0,1,0.0
1735,0.0,2,0.0
1738,0.0,6,0.0
1771,0.0,2,0.0
1772,0.0,1,0.0
1773,0.0,1,0.0
1775,0.0,1,0.0
1777,0.0,1,0.0
1778,0.0,1,0.0
1779,0.0,1,0.0
1781,0.0,1,0.0
1782,0.0,1,0.0
